rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate
3040,Kepler-93,b,Transit,2,4.72673978,9.7e-07,-9.7e-07,0.0,0.053,0.002,-0.002,False,0.0,,,0.0,89.183,0.044,-0.044,0.0,0.01265,0.00214,-0.00214,0.0,Mass,0.132,0.002,-0.002,False,6.88,1.18,-1.18,0.0,False,True,False,1,19h25m40.39s,291.418281,+38d40m20.5s,38.672354,,,,,9.931,,False,False,Kepler-band,5669.0,75.0,-75.0,False,False,0.91,0.03,-0.03,0.0,False,0.92,0.01,-0.01,False,False,2015-04-16
3128,Lupus-TR-3,b,Transit,1,3.91405,4e-05,-4e-05,0.0,0.0464,0.0007,-0.0007,False,0.0,,,0.0,88.3,1.3,-0.8,0.0,0.81,0.18,-0.18,0.0,Mass,0.89,0.07,-0.07,False,1.4,0.4,-0.4,0.0,False,False,False,0,15h30m18.62s,232.577571,-42d58m47.7s,-42.979908,2000.0,,,0.0,,,,,,5000.0,150.0,,False,,0.87,0.04,,0.0,,0.82,0.05,,False,,2014-05-14
3133,MOA 2009-BLG-266L,b,Microlensing,1,2774.0,2810.5,-547.5,0.0,3.2,1.9,-0.5,False,,,,,,,,,0.033,0.005,-0.005,0.0,Mass,,,,,,,,,False,False,False,0,17h48m01.95s,267.008125,-35d00m19.5s,-35.005411,3040.0,330.0,-330.0,0.0,,,,,,,,,,False,0.56,0.09,-0.09,0.0,False,,,,,False,2014-10-29
3150,NGC 4349 127,b,Radial Velocity,1,677.8,6.2,-6.2,0.0,2.38,,,False,0.19,0.07,-0.07,0.0,,,,,19.8,,,0.0,Msini,,,,,,,,,False,False,False,0,12h24m35.47s,186.147811,-61d49m12.0s,-61.820004,2200.0,,,0.0,10.88,,False,False,V (Johnson),,,,,False,3.9,0.3,-0.3,0.0,False,,,,,False,2015-05-14
3156,OGLE 2005-BLG-390L,b,Microlensing,1,3285.0,3285.0,-1095.0,0.0,2.6,1.5,-0.6,False,,,,,,,,,0.017,0.017,-0.008,0.0,Mass,,,,,,,,,False,False,False,0,17h54m19.19s,268.579958,-30d22m38.3s,-30.377306,6600.0,1000.0,-1000.0,0.0,,,,,,,,,,False,0.22,0.21,-0.11,0.0,False,,,,,False,2014-10-29
3158,OGLE 2006-BLG-109L,b,Microlensing,2,1788.5,584.0,-547.5,0.0,2.3,0.5,-0.5,False,,,,,,,,,0.73,0.06,-0.06,0.0,Mass,,,,,,,,,False,False,False,0,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778,1510.0,110.0,-120.0,0.0,,,,,,,,,,False,0.51,0.05,-0.04,0.0,False,,,,,False,2014-11-05
3159,OGLE 2006-BLG-109L,c,Microlensing,2,4927.5,3540.5,-1752.0,0.0,4.5,2.1,-1.0,False,0.15,0.17,-0.1,0.0,64.0,4.0,-7.0,0.0,0.27,0.02,-0.02,0.0,Mass,,,,,,,,,False,False,False,0,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778,1510.0,110.0,-120.0,0.0,,,,,,,,,,False,0.51,0.05,-0.04,0.0,False,,,,,False,2014-11-05
3176,OGLE-TR-056,b,Transit,1,1.2119189,,,0.0,0.02383,0.00046,-0.00051,False,,,,,77.6,0.91,-1.0,0.0,1.39,0.18,-0.17,0.0,Mass,1.363,0.092,-0.09,False,0.68,0.18,-0.14,0.0,False,False,False,1,17h56m35.51s,269.147958,-29d32m21.2s,-29.539222,,,,,15.3,,False,False,V (Johnson),6050.0,100.0,,False,,1.23,0.08,,0.0,,1.36,0.09,,False,,2014-05-14
3177,OGLE-TR-10,b,Transit,1,3.101278,,,0.0,0.0434,0.0013,-0.0015,False,,,,,90.0,0.0,-3.9,0.0,0.62,0.14,-0.14,0.0,Mass,1.25,0.14,-0.12,False,0.4,0.18,-0.12,0.0,False,False,False,3,17h51m28.25s,267.867708,-29d52m34.9s,-29.876361,,,,,14.93,,False,False,V (Johnson),5950.0,130.0,,False,,1.14,0.12,,0.0,,1.17,0.13,,False,,2014-05-14
3179,OGLE-TR-113,b,Transit,1,1.4324752,,,0.0,0.02289,0.00016,-0.00015,False,,,,,87.8,1.6,-0.62,0.0,1.26,0.16,-0.16,0.0,Mass,1.093,0.028,-0.019,False,1.2,0.17,-0.16,0.0,False,False,False,1,10h52m24.40s,163.101667,-61d26m48.5s,-61.446806,600.0,,,0.0,14.42,,False,False,V (Johnson),4790.0,75.0,,False,,0.78,0.02,,0.0,,0.77,0.02,,False,,2014-05-14
3180,OGLE-TR-132,b,Transit,1,1.689868,,,0.0,0.03035,0.00057,-0.00053,False,,,,,83.4,2.9,-1.3,0.0,1.18,0.14,-0.13,0.0,Mass,1.2,0.15,-0.11,False,0.85,0.32,-0.26,0.0,False,False,False,1,10h50m34.72s,162.644667,-61d57m25.9s,-61.957194,2500.0,250.0,-250.0,0.0,15.72,,False,False,V (Johnson),6210.0,75.0,-75.0,False,False,1.3,0.07,-0.07,0.0,False,1.32,0.17,-0.12,False,False,2014-10-29
3181,OGLE-TR-182,b,Transit,1,3.9791,1e-05,-1e-05,0.0,0.051,0.001,-0.001,False,0.0,,,0.0,85.7,0.3,-0.3,0.0,1.01,0.15,-0.15,0.0,Mass,1.13,0.24,-0.08,False,,,,,False,False,False,0,11h09m18.71s,167.327963,-61d05m42.9s,-61.095257,,,,,,,,,,5924.0,64.0,,False,,1.14,0.05,,0.0,,1.14,0.23,,False,,2014-05-14
3182,OGLE-TR-211,b,Transit,1,3.67724,3e-05,-3e-05,0.0,0.051,0.001,-0.001,False,0.0,,,0.0,87.2,,,-1.0,1.03,0.2,-0.2,0.0,Mass,1.36,0.18,-0.09,False,,,,,False,False,False,0,10h40m14.39s,160.059951,-62d27m20.2s,-62.455601,,,,,,,,,,6325.0,91.0,,False,,1.33,0.05,,0.0,,1.64,0.21,,False,,2014-05-14
3187,POTS-1,b,Transit,1,3.1606296,1.57e-06,-1.57e-06,0.0,0.03734,0.0009,-0.0009,False,,,,,88.06,0.47,-0.34,0.0,2.31,0.77,-0.77,0.0,Mass,0.941,0.036,-0.047,False,,,,,False,False,False,0,13h34m26.13s,203.608877,-66d34m52.0s,-66.581116,1200.0,600.0,-600.0,0.0,17.94,0.03,False,False,V (Johnson),4400.0,200.0,-200.0,False,False,0.69,0.05,-0.05,0.0,False,0.59,0.02,-0.03,False,False,2014-05-14
3192,PSR J1719-1438,b,Pulsar Timing,1,0.09070629,0.0,0.0,0.0,0.0044,,,False,0.06,,,1.0,,,,,1.2,,,-1.0,Mass,,,,,23.0,,,-1.0,False,False,False,0,17h19m10.07s,259.791971,-14d38m01.0s,-14.6336,1200.0,300.0,-300.0,0.0,,,,,,4500.0,,,True,False,1.4,,,0.0,False,0.04,,,False,False,2014-05-14
3194,Pr0211,b,Radial Velocity,2,2.1461,3e-05,-3e-05,0.0,0.03176,0.00015,-0.00015,False,0.011,0.012,-0.008,0.0,,,,,1.88,0.03,-0.03,0.0,Msini,,,,,,,,,False,False,False,0,08h42m11.49s,130.547882,+19d16m37.4s,19.277044,,,,,12.06,,False,False,V (Johnson),5300.0,30.0,-30.0,False,False,0.94,0.01,-0.01,0.0,False,0.83,0.01,-0.01,False,False,2016-02-11
3195,Pr0211,c,Radial Velocity,2,4850.0,4560.0,-1750.0,0.0,5.5,3.0,-1.4,False,0.71,0.11,-0.11,0.0,,,,,7.79,0.33,-0.33,0.0,Msini,,,,,,,,,False,False,False,0,08h42m11.49s,130.547882,+19d16m37.4s,19.277044,,,,,12.06,,False,False,V (Johnson),5300.0,30.0,-30.0,False,False,0.94,0.01,-0.01,0.0,False,0.83,0.01,-0.01,False,False,2016-02-11
3196,Qatar-1,b,Transit,1,1.42002406,2.1e-07,-2.1e-07,0.0,0.02298,0.00069,-0.00036,False,,,,,84.26,0.17,-0.16,0.0,1.275,0.079,-0.043,0.0,Mass,1.136,0.037,-0.022,False,1.2,0.13,-0.08,0.0,False,False,False,0,20h13m31.60s,303.381672,+65d09m43.3s,65.162041,,,,,12.843,0.137,False,False,V (Johnson),,,,,False,0.8,0.07,-0.04,0.0,False,0.78,0.03,-0.01,False,False,2015-04-16
3197,Qatar-2,b,Transit,1,1.33711647,2.6e-07,-2.6e-07,0.0,0.02153,0.0002,-0.0002,False,0.0,,,0.0,86.12,0.08,-0.08,0.0,2.494,0.054,-0.054,0.0,Mass,1.254,0.013,-0.013,False,1.573,0.029,-0.029,0.0,False,False,False,0,13h50m37.41s,207.655866,-06d48m14.5s,-6.804028,,,,,13.3,,False,False,V (Johnson),4645.0,50.0,-50.0,False,False,0.74,0.02,-0.02,0.0,False,0.78,0.01,-0.01,False,False,2014-11-05
3203,SWEEPS-11,b,Transit,1,1.796,,,0.0,0.03,,,False,,,,,,,,,9.7,5.6,-4.5,0.0,Mass,1.13,0.21,-0.21,False,,,,,False,False,False,0,17h59m02.00s,269.758333,-29d11m53.5s,-29.198194,8500.0,,,0.0,19.83,,False,False,V (Johnson),,,,,,1.1,,,0.0,,1.45,,,False,,2014-05-14
3204,SWEEPS-4,b,Transit,1,4.2,,,0.0,0.055,,,False,,,,,,,,,3.8,,,0.0,Mass,0.81,0.1,-0.1,False,,,,,False,False,False,0,17h58m53.92s,269.724667,-29d11m20.6s,-29.189056,8500.0,,,0.0,18.8,,False,False,V (Johnson),,,,,,1.24,,,0.0,,1.18,,,False,,2014-05-14
3211,TrES-1,b,Transit,1,3.030065,,,0.0,0.03925,0.00056,-0.0006,False,,,,,90.0,0.0,-1.1,0.0,0.752,0.047,-0.046,0.0,Mass,1.067,0.022,-0.021,False,0.769,0.069,-0.064,0.0,False,False,False,0,19h04m09.85s,286.041062,+36d37m57.5s,36.632629,150.0,,,0.0,11.76,0.01,False,False,V (Johnson),5230.0,50.0,-50.0,False,False,0.88,0.04,-0.04,0.0,False,0.81,0.02,-0.02,False,False,2014-10-15
3213,TrES-3,b,Transit,1,1.30618581,,,0.0,0.02282,0.00023,-0.0004,False,0.0,,,0.0,81.85,0.16,-0.16,0.0,1.91,0.075,-0.08,0.0,Mass,1.336,0.031,-0.037,False,0.994,0.095,-0.078,0.0,False,False,False,1,17h52m07.02s,268.029265,+37d32m46.2s,37.546154,228.0,12.0,-12.0,0.0,12.402,0.006,False,False,V (Johnson),5650.0,75.0,,False,,0.93,0.05,,0.0,,0.83,0.02,,False,,2014-05-14
3214,TrES-4,b,Transit,1,3.55392771,4.7e-07,-4.7e-07,0.0,0.0516,0.0005,-0.0005,False,0.016,,,1.0,83.07,0.51,-0.44,0.0,0.494,0.035,-0.035,0.0,Mass,1.838,0.081,-0.09,False,0.099,0.016,-0.013,0.0,False,False,False,0,17h53m13.04s,268.304354,+37d12m42.7s,37.211849,492.0,39.0,-39.0,0.0,11.592,0.004,False,False,V (Johnson),6295.0,65.0,-65.0,False,False,1.45,0.05,-0.05,0.0,False,1.81,0.08,-0.08,False,False,2016-05-05
3215,TrES-5,b,Transit,1,1.48224686,6.14e-06,-6.14e-06,0.0,0.02459,0.0007,-0.0007,False,,,,,84.27,0.26,-0.26,0.0,1.79,0.068,-0.068,0.0,Mass,1.194,0.015,-0.015,False,1.31,0.052,-0.052,0.0,False,False,False,0,20h20m53.24s,305.221841,+59d26m55.6s,59.448788,360.0,11.0,-11.0,0.0,13.718,0.005,False,False,V (Johnson),5171.0,36.0,-36.0,False,False,0.9,0.03,-0.03,0.0,False,0.87,0.01,-0.01,False,False,2015-04-16
3220,V830 Tau,b,Radial Velocity,1,4.93,0.05,-0.05,0.0,0.057,0.001,-0.001,False,0.0,,,0.0,,,,,0.77,0.15,-0.15,0.0,Mass,,,,,,,,,False,False,False,0,04h33m10.03s,68.291803,+24d33m43.4s,24.56205,131.0,3.0,-3.0,0.0,,,,,,4250.0,50.0,-50.0,False,False,1.0,0.05,-0.05,0.0,False,2.0,0.2,-0.2,False,False,2016-06-23
3222,WASP-1,b,Transit,1,2.5199454,5e-07,-5e-07,0.0,0.03889,0.00053,-0.00073,False,0.0,,,0.0,90.0,1.3,-1.3,0.0,0.854,0.057,-0.052,0.0,Mass,1.483,0.024,-0.034,False,0.348,0.029,-0.032,0.0,False,False,False,1,00h20m40.07s,5.166978,+31d59m24.0s,31.98999,408.0,27.0,-27.0,0.0,11.79,,False,False,V (Johnson),,,,,False,1.24,0.05,-0.07,0.0,False,1.47,0.02,-0.03,False,False,2014-05-14
